# title : Confirmed SARS–CoV–2 infections
# x_label : Day
# y_label : Confirmed
# x_lim : 0.0, 917 + 1.0
# y_log : 1
# location : 4
Germany	Austria	Belgium	Netherlands	France	Italy	Spain		US
169218.0	15812.0	53081.0	42987.0	178404.0	219070.0	224350.0	1.332334e6
169575.0	15842.0	53449.0	43183.0	178719.0	219814.0	227436.0	1.351411e6
170508.0	15857.0	53779.0	43410.0	179472.0	221216.0	228030.0	1.374792e6
171306.0	15923.0	53981.0	43680.0	179993.0	222104.0	228691.0	1.394807e6
172239.0	15961.0	54288.0	43880.0	180635.0	223096.0	229540.0	1.420697e6
173152.0	16013.0	54644.0	44069.0	181148.0	223885.0	230183.0	1.445548e6
173772.0	16067.0	54989.0	44195.0	181563.0	224760.0	230698.0	1.469598e6
174355.0	16148.0	55280.0	44341.0	181703.0	225435.0	230698.0	1.488327e6
174697.0	16163.0	55559.0	44449.0	182147.0	225886.0	231606.0	1.510635e6
175210.0	16189.0	55791.0	44647.0	182648.0	226699.0	232037.0	1.531138e6
176007.0	16247.0	55983.0	44900.0	183129.0	227364.0	232555.0	1.553966e6
176752.0	16308.0	56235.0	45088.0	183396.0	228006.0	233037.0	1.579118e6
177212.0	16338.0	56511.0	45264.0	184152.0	228658.0	234824.0	1.602947e6
177850.0	16369.0	56810.0	45437.0	184698.0	229327.0	235290.0	1.623136e6
178281.0	16397.0	57092.0	45646.0	184259.0	229858.0	235772.0	1.64331e6
178570.0	16421.0	57342.0	45780.0	184584.0	230158.0	235400.0	1.662404e6
179002.0	16452.0	57455.0	45970.0	184839.0	230555.0	236259.0	1.68113e6
179364.0	16477.0	57592.0	46152.0	185012.0	231139.0	236259.0	1.699893e6
179717.0	16499.0	57849.0	46328.0	188355.0	231732.0	237906.0	1.72116e6
180458.0	16549.0	58061.0	46459.0	188949.0	232248.0	238564.0	1.746242e6
181196.0	16568.0	58186.0	46645.0	190743.0	232664.0	239228.0	1.769322e6
181482.0	16610.0	58381.0	46748.0	190975.0	232997.0	239479.0	1.788241e6
181815.0	16642.0	58517.0	46851.0	191382.0	233197.0	239638.0	1.806081e6
182028.0	16647.0	58615.0	46938.0	190735.0	233515.0	239932.0	1.826171e6
182370.0	16666.0	58685.0	47148.0	187509.0	233836.0	240326.0	1.845327e6
182764.0	16682.0	58767.0	47358.0	191869.0	234013.0	240660.0	1.873261e6
183271.0	16735.0	58907.0	47541.0	192450.0	234531.0	240978.0	1.899701e6
183678.0	16752.0	59072.0	47780.0	193022.0	234801.0	241310.0	1.91997e6
183979.0	16819.0	59226.0	47945.0	193363.0	234998.0	241550.0	1.937796e6
184193.0	16850.0	59348.0	48109.0	193637.0	235278.0	241717.0	1.954696e6
184543.0	16875.0	59437.0	48293.0	194190.0	235561.0	241966.0	1.975017e6
184861.0	16899.0	59569.0	48458.0	194815.0	235763.0	242280.0	1.996735e6
185416.0	16914.0	59711.0	48668.0	195179.0	236142.0	242707.0	2.019013e6
185674.0	16948.0	59819.0	48847.0	195980.0	236305.0	243209.0	2.044571e6
186022.0	16970.0	59918.0	48990.0	196477.0	236651.0	243605.0	2.068728e6
186269.0	17007.0	60029.0	49155.0	196867.0	236989.0	243928.0	2.087629e6
186461.0	17029.0	60100.0	49294.0	197003.0	237290.0	244109.0	2.108628e6
186839.0	17047.0	60155.0	49412.0	197666.0	237500.0	244328.0	2.133177e6
187184.0	17100.0	60244.0	49527.0	198155.0	237828.0	244683.0	2.160227e6
187764.0	17119.0	60348.0	49634.0	198741.0	238159.0	245268.0	2.188454e6
188534.0	17150.0	60476.0	49710.0	199528.0	238011.0	245575.0	2.219508e6
189135.0	17182.0	60550.0	49801.0	200147.0	238275.0	245938.0	2.251334e6
189822.0	17234.0	60550.0	49866.0	200490.0	238499.0	246272.0	2.27717e6
190359.0	17266.0	60550.0	49930.0	200632.0	238720.0	246504.0	2.306971e6
190862.0	17295.0	60810.0	50012.0	201330.0	238833.0	246752.0	2.3457e6
191449.0	17326.0	60898.0	50122.0	201598.0	239410.0	247086.0	2.381951e6
192079.0	17369.0	61007.0	50213.0	201853.0	239706.0	247486.0	2.42125e6
192556.0	17404.0	61106.0	50282.0	203116.0	239961.0	247905.0	2.470296e6
193243.0	17448.0	61209.0	50355.0	203564.0	240136.0	248469.0	2.51105e6
193499.0	17522.0	61295.0	50431.0	203157.0	240310.0	248770.0	2.553975e6
193761.0	17567.0	61361.0	50483.0	203802.0	240436.0	248970.0	2.595272e6
194259.0	17629.0	61427.0	50545.0	204244.0	240578.0	249271.0	2.645097e6
194725.0	17678.0	61509.0	50622.0	205234.0	240760.0	249659.0	2.69422e6
195228.0	17779.0	61598.0	50698.0	205773.0	240961.0	250103.0	2.749163e6
195674.0	17874.0	61727.0	50759.0	206312.0	241184.0	250545.0	2.800668e6
196096.0	17954.0	61838.0	50834.0	206670.0	241419.0	250545.0	2.846614e6
196335.0	18088.0	62016.0	50870.0	206682.0	241611.0	250545.0	2.900342e6
196554.0	18194.0	62058.0	50907.0	207700.0	241819.0	251789.0	2.943508e6
196944.0	18270.0	62058.0	50959.0	208154.0	241956.0	252130.0	3.000739e6
197341.0	18338.0	62123.0	51011.0	208976.0	242149.0	252513.0	3.061045e6
197783.0	18429.0	62210.0	51055.0	209420.0	242363.0	253056.0	3.120701e6
198178.0	18547.0	62357.0	51136.0	210135.0	242639.0	253908.0	3.189561e6
198556.0	18619.0	62469.0	51237.0	210386.0	242827.0	253908.0	3.25e6
198804.0	18724.0	62707.0	51308.0	210402.0	243061.0	253908.0	3.310132e6
198963.0	18814.0	62707.0	51361.0	211825.0	243230.0	255953.0	3.369496e6
199375.0	18866.0	62781.0	51468.0	211887.0	243344.0	256619.0	3.435158e6
199726.0	18965.0	62872.0	51570.0	212614.0	243506.0	257494.0	3.501184e6
200260.0	19087.0	63238.0	51675.0	213183.0	243736.0	258855.0	3.571998e6
200843.0	19217.0	63499.0	51809.0	214009.0	243967.0	260255.0	3.63847e6
201372.0	19358.0	63706.0	51953.0	214174.0	244216.0	260255.0	3.702792e6
201574.0	19482.0	63706.0	52140.0	214178.0	244434.0	260255.0	3.761724e6
201823.0	19563.0	64094.0	52305.0	216089.0	244624.0	264836.0	3.822387e6
202345.0	19650.0	64258.0	52475.0	216684.0	244752.0	266194.0	3.890581e6
202799.0	19740.0	64627.0	52638.0	217605.0	245032.0	267551.0	3.958126e6
203368.0	19877.0	64847.0	52831.0	218841.0	245338.0	270166.0	4.026012e6
204183.0	20039.0	65199.0	52974.0	219932.0	245590.0	272421.0	4.101159e6
204964.0	20156.0	65727.0	53257.0	220016.0	245864.0	272421.0	4.165359e6
205269.0	20309.0	66026.0	53424.0	220020.0	246118.0	272421.0	4.221198e6
205609.0	20421.0	66428.0	53647.0	222508.0	246286.0	278782.0	4.280922e6
206242.0	20522.0	66662.0	53894.0	223072.0	246488.0	280610.0	4.345753e6
206926.0	20618.0	67335.0	54237.0	224542.0	246776.0	282641.0	4.409882e6
207828.0	20771.0	68006.0	54587.0	225936.0	247158.0	285430.0	4.479123e6
208698.0	20873.0	68751.0	55021.0	227239.0	247537.0	288522.0	4.543699e6
209653.0	21063.0	69402.0	55387.0	227301.0	247832.0	288522.0	4.601277e6
209893.0	21186.0	69849.0	55780.0	227304.0	248070.0	288522.0	4.648386e6
210402.0	21248.0	70314.0	56271.0	230665.0	248229.0	297054.0	4.69007e6
211281.0	21318.0	70648.0	56705.0	231636.0	248419.0	302814.0	4.751727e6
212022.0	21411.0	71158.0	57351.0	233344.0	248803.0	305767.0	4.806075e6
213067.0	21494.0	72016.0	57984.0	234945.0	249204.0	309855.0	4.866254e6
214214.0	21653.0	72784.0	58603.0	237332.0	249756.0	314362.0	4.926841e6
215336.0	21772.0	73401.0	59294.0	237402.0	250103.0	314362.0	4.990774e6
215891.0	21862.0	74152.0	59990.0	237408.0	250566.0	314362.0	5.045041e6
216327.0	21966.0	74620.0	60288.0	242168.0	250825.0	322980.0	5.096658e6
217293.0	22038.0	75008.0	61594.0	243576.0	251237.0	326612.0	5.153612e6
218519.0	22196.0	75647.0	62295.0	246180.0	251713.0	329784.0	5.208856e6
219964.0	22383.0	76191.0	63042.0	248850.0	252235.0	337334.0	5.260512e6
221413.0	22573.0	77113.0	63782.0	251764.0	252809.0	342813.0	5.330637e6
222828.0	22824.0	77869.0	64396.0	254974.0	253438.0	342813.0	5.383031e6
223453.0	23173.0	78323.0	64950.0	257994.0	253915.0	342813.0	5.417693e6
224014.0	23329.0	78534.0	65469.0	258629.0	254235.0	359082.0	5.455542e6
225404.0	23498.0	78897.0	66112.0	260748.0	254636.0	364196.0	5.500444e6
226914.0	23757.0	79479.0	66747.0	264535.0	255278.0	370867.0	5.546328e6
228621.0	24009.0	80178.0	67378.0	269335.0	256118.0	377906.0	5.591456e6
230048.0	24356.0	80894.0	67964.0	274289.0	257065.0	386054.0	5.639047e6
232082.0	24687.0	81468.0	68508.0	277763.0	258136.0	386054.0	5.684719e6
232864.0	24989.0	81936.0	69144.0	282498.0	259345.0	386054.0	5.71663e6
233575.0	25218.0	82092.0	69639.0	284474.0	260298.0	405436.0	5.750553e6
234853.0	25411.0	82447.0	70254.0	288067.0	261174.0	412553.0	5.793226e6
236429.0	25654.0	83030.0	70892.0	288354.0	262540.0	419849.0	5.835299e6
237936.0	25955.0	83500.0	71491.0	299580.0	263949.0	429507.0	5.885817e6
239507.0	26274.0	83952.0	72058.0	307205.0	265409.0	439286.0	5.932287e6
240986.0	26500.0	84599.0	72636.0	312665.0	266853.0	439286.0	5.97539e6
241771.0	26894.0	85042.0	73206.0	318047.0	268218.0	439286.0	6.009521e6
242381.0	27131.0	85236.0	73694.0	321160.0	269214.0	462858.0	6.042883e6
243599.0	27354.0	85487.0	74536.0	326264.0	270189.0	470973.0	6.084862e6
244855.0	27575.0	85911.0	75261.0	333351.0	271515.0	479554.0	6.124823e6
246166.0	27861.0	86544.0	76100.0	340473.0	272912.0	488513.0	6.169964e6
247619.0	28290.0	87174.0	76827.0	349333.0	274644.0	498989.0	6.218298e6
248997.0	28656.0	87825.0	77832.0	357927.0	276338.0	498989.0	6.261921e6
249985.0	29036.0	88367.0	78654.0	364943.0	277634.0	498989.0	6.29104e6
250799.0	29253.0	88769.0	79666.0	369209.0	278784.0	525549.0	6.315603e6
252298.0	29620.0	89141.0	80932.0	375947.0	280153.0	534513.0	6.342347e6
253474.0	30016.0	89691.0	81908.0	384546.0	281583.0	543379.0	6.375987e6
255366.0	30568.0	90568.0	83286.0	394308.0	283180.0	554143.0	6.415435e6
256850.0	31259.0	91537.0	84601.0	403837.0	284796.0	566326.0	6.460058e6
258480.0	31857.0	92478.0	85796.0	415174.0	286297.0	566326.0	6.505641e6
259428.0	32787.0	93455.0	87176.0	421519.0	287753.0	566326.0	6.545932e6
260355.0	33202.0	94306.0	88573.0	427839.0	288761.0	593730.0	6.578496e6
261762.0	33616.0	94795.0	90215.0	435665.0	289990.0	603167.0	6.615674e6
263663.0	34436.0	95948.0	92178.0	445932.0	291442.0	614360.0	6.653966e6
265857.0	35159.0	97976.0	94236.0	456171.0	293025.0	625651.0	6.699284e6
267773.0	36013.0	99649.0	96232.0	469404.0	294932.0	640040.0	6.749468e6
270070.0	36819.0	100748.0	98105.0	482964.0	296569.0	640040.0	6.795246e6
271415.0	37693.0	102295.0	100434.0	493500.0	298156.0	640040.0	6.836856e6
272337.0	38360.0	103392.0	102736.0	499039.0	299506.0	671468.0	6.868899e6
274158.0	38831.0	105226.0	105201.0	509123.0	300897.0	682267.0	6.90717e6
275927.0	39413.0	106887.0	107848.0	522355.0	302537.0	693556.0	6.94829e6
278070.0	40132.0	108768.0	110676.0	538264.0	304323.0	704209.0	6.997173e6
280223.0	40936.0	110976.0	113471.0	554368.0	306235.0	716481.0	7.044309e6
282730.0	41593.0	112803.0	116513.0	568588.0	308104.0	716481.0	7.087856e6
284140.0	42356.0	114179.0	119473.0	579223.0	309870.0	716481.0	7.121635e6
285332.0	42947.0	115353.0	122520.0	583522.0	311364.0	748266.0	7.159375e6
287421.0	43492.0	117115.0	125914.0	591527.0	313011.0	748266.0	7.201407e6
289219.0	44231.0	118452.0	129240.0	605893.0	314861.0	769188.0	7.240039e6
291722.0	44990.0	121059.0	133108.0	618918.0	317409.0	778607.0	7.286282e6
294395.0	45844.0	124234.0	137133.0	631354.0	319908.0	789932.0	7.339725e6
296958.0	46634.0	127623.0	141197.0	647868.0	322751.0	789932.0	7.389006e6
